daily_budget,configured_status,start_time,bid_strategy,id,date_start,date_stop,spend,impressions,frequency,cpm,cpc,ctr,inline_link_clicks,objective,account_name,adset_name,reach,buying_type,clicks,account_currency,unique_inline_link_clicks,actions_0_action_type,actions_0_value,actions_1_action_type,actions_1_value,actions_2_action_type,actions_2_value,actions_3_action_type,actions_3_value,actions_4_action_type,actions_4_value,actions_5_action_type,actions_5_value,adset_id,ad_id,ad_name,campaign_id,account_id,created_time,unique_clicks,spend_cap,timezone_name,timezone_id,amount_spent,effective_status,adSetId,dma,name,object_type,adCreativeId
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6464546341977,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-12-03-beba8d58e345ca04e243ff2bccade5d3,SHARE,6464546341977
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6464546341377,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-12-03-0e0812cc57548ab013314f6676915e7b,SHARE,6464546341377
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6464546340777,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-12-03-a9cb4ee1e90a8d62dee1158fcbdcce15,SHARE,6464546340777
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450403246577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-bc1a692b3568467d227837534f45684d,SHARE,6450403246577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402931377,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-ac316b632889d579faafa22829fe698a,SHARE,6450402931377
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402733977,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-63781d6b39da52607f88e0193a8160fa,SHARE,6450402733977
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402184377,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-7f3c7f2d01c6942aa2cd124f0763868b,PRIVACY_CHECK_FAIL,6450402184377
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402183577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-8af603203feb6ddc72c87a85aaa98965,PRIVACY_CHECK_FAIL,6450402183577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402182777,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-e7b4302e48c9f79a2e622b014976472d,PRIVACY_CHECK_FAIL,6450402182777
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450399435177,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-c696591263ef17ac616cb1c432181ba2,PRIVACY_CHECK_FAIL,6450399435177
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450398493977,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-502d08248490678b55bd5a7ac7ad4943,PRIVACY_CHECK_FAIL,6450398493977
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450397373577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-b1145a81078893278b37cbe88ce17afc,PRIVACY_CHECK_FAIL,6450397373577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450387831577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-97c531931afc5e37309c9f8f5fdd5d5e,SHARE,6450387831577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450387830977,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-b66cb380fc22f24d47c994543c9ebdeb,SHARE,6450387830977
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450387830377,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-2026860e67581e2ee04b8f7313898e35,SHARE,6450387830377
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6442193443777,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-11-14-071aff8ea4f49a9bc9ba12edc814256a,PRIVACY_CHECK_FAIL,6442193443777
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6442171711777,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-11-13-78a207ede4adb69cbcc34770d0e94eb4,PRIVACY_CHECK_FAIL,6442171711777
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6441934918577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-11-13-e845a309827d6636c2ae57ed2e645695,SHARE,6441934918577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6441934917577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-11-13-1ebc330dc4869af9b16c77768d70e1d0,SHARE,6441934917577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6441934917177,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-11-13-432bf9bd7c50a352025dc5377cd3fdcd,SHARE,6441934917177
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6441934916777,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-11-13-e1a909735777d0b2fcff84015017044b,SHARE,6441934916777
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6441934915977,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-11-13-19830c236e669afba5f172fa10a2b3df,SHARE,6441934915977
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6412456742177,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-09-28-240586215a6d2ff35bfdff440ff7f234,SHARE,6412456742177
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6412456741577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-09-28-3e4cd9f79da21886f0159a0b4f236964,SHARE,6412456741577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6412456741177,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,SpeQue POS 2023-09-28-6a6f4ebca96ea93bccc8647d8c773c94,SHARE,6412456741177
